Player,Salary,Pos,Age,Tm,G,MP,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,BPM,VORP
Dwayne Bacon,"$815,615 ",SG,22,CHO,53,713,5.8,0.431,9.4,7.6,1.1,0.2,10.2,13.7,-0.7,0.6,-0.1,-5.8,-0.7
Draymond Green,"$16,400,000 ",PF,27,GSW,66,2171,16.4,0.555,13.2,29.1,2,3.2,21.8,17.1,2.8,3.4,6.2,3.5,3
Dragan Bender,"$4,468,800 ",PF,20,PHO,79,1957,6.6,0.512,8.9,9,0.5,2.1,18.3,12.6,-0.9,0.7,-0.2,-3,-0.5
Doug McDermott,"$3,294,994 ",SF,26,DAL,24,552,11.7,0.613,6.3,7.9,0.8,0.5,10.5,16.5,0.6,0.3,0.9,-2.1,0
Doug McDermott,"$3,294,994 ",SF,26,NYK,55,1172,9.9,0.562,6.3,6,0.4,0.9,8.8,14.3,1.1,0.3,1.4,-2.5,-0.1
Doug McDermott,"$3,294,994 ",SF,26,TOT,79,1724,10.5,0.579,6.3,6.6,0.5,0.8,9.4,15,1.7,0.6,2.3,-2.4,-0.2
Dorian Finney-Smith,"$1,312,611 ",PF,24,DAL,18,344,6.3,0.468,8.9,7,1,1,15.1,14,-0.2,0.2,0,-3.7,-0.1
Donovan Mitchell,"$2,621,280 ",SG,21,UTA,75,2512,16.5,0.541,6.2,19.2,2.2,0.9,12.7,29,1.2,3.5,4.7,0.8,1.8
Domantas Sabonis,"$2,550,000 ",C,21,IND,70,1711,17.3,0.57,18,12.6,1,1.5,15.7,21.7,2.4,2.1,4.5,-0.4,0.7
Dirk Nowitzki,"$5,000,000 ",C,39,DAL,77,1900,16.7,0.575,12.8,10.4,1.1,2.1,6,20.5,2.6,2.2,4.9,0.4,1.2
Dion Waiters,"$11,000,000 ",SG,26,MIA,30,918,10.5,0.487,4.7,19.8,1.3,0.8,13.7,25,-0.7,0.9,0.1,-4,-0.5
Dillon Brooks,"$815,615 ",SF,22,MEM,78,2220,9.1,0.526,6.1,8.4,1.5,0.7,12.8,17.9,-0.3,1.1,0.9,-3.4,-0.8
Deyonta Davis,"$1,312,611 ",C,21,MEM,58,841,16.7,0.624,15.2,7.3,0.8,3.9,10.1,15.4,1.7,0.8,2.5,-0.8,0.3
